name,year,day,count,sum,mean,stdev,index
1,2014,121,1962,NaN,NaN,NaN,5
2,2014,121,986,-2.3393224262963486,-0.0023725379577042077,0.023020098002537525,5
3,2014,121,1270,-4.1784039733483951,-0.003290081868778264,0.039108419793905072,5
4,2014,121,2256,NaN,NaN,NaN,5
5,2014,121,3522,NaN,NaN,NaN,5
6,2014,121,1791,-71.654359286250838,-0.040008017468593435,0.10342944028959022,5
7,2014,121,1241,-10.303987313593097,-0.0083029712438300544,0.03151494808085701,5
8,2014,121,473,-0.035913614936362137,-7.5927304305205363e-005,0.0063507703792931259,5
1,2014,145,363,NaN,NaN,NaN,6
2,2014,145,330,-3.6168148577162356,-0.010960045023382532,0.035133295767322006,6
1,2014,113,404,110051,272.40346534653463,25.01258273193875,2
1,2014,129,655,NaN,NaN,NaN,3
3,2014,145,427,-0.85262121166852012,-0.0019967709875140988,0.015512369428547479,6
1,2014,146,2466,3762,1.5255474452554745,0.97054982096083797,10
2,2014,113,26,6174.5,237.48076923076923,25.307904195979962,2
2,2014,129,811,-33.883943961975092,-0.041780448781720214,0.089843067438881458,3
4,2014,145,252,NaN,NaN,NaN,6
3,2014,113,21,5580.5,265.73809523809524,25.083963311635923,2
2,2014,146,5751,17675,3.0733785428621108,3.0081045761704441,10
5,2014,145,1761,NaN,NaN,NaN,6
3,2014,129,752,-33.531198712522382,-0.044589359990056358,0.088633602753261376,3
3,2014,146,5603,11162,1.9921470640728181,1.2132629006570959,10
4,2014,113,682,180465.5,264.61217008797655,26.895588519327376,2
6,2014,145,300,-6.2647783739557781,-0.020882594579852594,0.063568145232271847,6
4,2014,129,938,NaN,NaN,NaN,3
5,2014,129,1697,NaN,NaN,NaN,3
4,2014,146,7443,316,0.042455998925164586,0.2016270990725974,10
7,2014,145,575,-10.888817296407069,-0.018937073558968814,0.047333342299318501,6
5,2014,113,11,2577,234.27272727272728,10.547217720939035,2
6,2014,129,257,-8.0676966810315207,-0.03139181587950008,0.091844676792336169,3
5,2014,146,4554,5616,1.233201581027668,1.2678536080314897,10
7,2014,129,234,-1.8477736632685264,-0.007896468646446695,0.057455441248984301,3
8,2014,145,380,-20.025970890090321,-0.052699923394974528,0.10063678780324541,6
6,2014,113,257,68012,264.63813229571986,25.156270060561962,2
8,2014,129,748,-38.404404843939119,-0.051342787224517537,0.14118932643584947,3
6,2014,146,2188,931,0.42550274223034734,0.77814554400346192,10
7,2014,146,4594,0,0,0,10
8,2014,146,3523,976,0.27703661652001138,0.60876656037335186,10
7,2014,113,198,51316.5,259.17424242424244,31.373945202307358,2
1,2014,113,1351,NaN,NaN,NaN,3
1,2014,88,2466,5661,2.2956204379562042,2.257500133665459,10
1,2014,145,507,115913,228.62524654832347,45.905717563481197,0
3,2014,113,180,-19.312970043438327,-0.10729427801910181,0.16751636271568052,3
4,2014,113,1060,NaN,NaN,NaN,3
2,2014,88,5751,1909,0.33194227090940703,1.0240816426033046,10
2,2014,145,2441,603937,247.41376485047113,48.975443426147756,0
5,2014,113,2859,NaN,NaN,NaN,3
3,2014,88,5603,2131,0.38033196501873995,0.90672547913411372,10
3,2014,145,1841,460125,249.93210211841389,48.142399859013302,0
6,2014,113,1123,-149.09038745559155,-0.13276080806375026,0.16531187256999366,3
4,2014,88,7443,16806,2.2579604997984686,2.2899671310502985,10
4,2014,145,812,190956,235.16748768472905,49.53203697398002,0
7,2014,113,262,-10.836703317610954,-0.041361463044316621,0.10042395680446477,3
5,2014,88,4554,5363,1.1776460254721124,1.6191706946946591,10
5,2014,145,573,144552,252.27225130890054,47.08355664984289,0
6,2014,88,2188,18274,8.3519195612431449,2.7855252277193365,10
6,2014,145,992,244662,246.63508064516128,48.864339642557084,0
7,2014,88,4594,19437,4.2309534175010883,1.4787685065773939,10
7,2014,145,1195,288622,241.52468619246861,49.387597089152223,0
8,2014,145,927,229360,247.42179072276159,51.188317840196255,0
8,2014,88,3523,1233,0.34998580755038322,0.62891521330513789,10
1,2014,149,2466,46334,18.789132197891323,7.4427348471124128,10
2,2014,149,5751,2033,0.35350373848026428,0.51853606977201028,10
3,2014,149,5603,61,0.010887024808138497,0.10377137128787244,10
4,2014,149,7443,3802,0.51081553137175872,0.83760528161086878,10
5,2014,149,4554,20779,4.56280193236715,3.3561975605932197,10
6,2014,149,2188,10512,4.8043875685557591,2.6466388845929862,10
1,2014,113,1666,NaN,NaN,NaN,5
